trip_id,starttime,stoptime,bikeid,tripduration,from_station_name,to_station_name,from_station_id,to_station_id,usertype,gender,birthyear
511,10/13/2014 12:15,10/13/2014 12:31,SEA00467,986.797,Burke Museum / E Stevens Way NE & Memorial Way NE,UW Intramural Activities Building,UW-02,UW-07,Member,Female,1989
512,10/13/2014 12:15,10/13/2014 12:31,SEA00173,979.928,Burke Museum / E Stevens Way NE & Memorial Way NE,UW Intramural Activities Building,UW-02,UW-07,Member,Female,1952
513,10/13/2014 12:17,10/13/2014 12:22,SEA00459,353.611,2nd Ave & Spring St,Occidental Park / Occidental Ave S & S Washington St,CBD-06,PS-04,Member,Male,1981
516,10/13/2014 12:19,10/13/2014 12:21,SEA00052,132.414,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,UD-01,UD-01,Member,Male,1975
517,10/13/2014 12:19,10/13/2014 12:34,SEA00145,888.627,Occidental Park / Occidental Ave S & S Washington St,2nd Ave & Vine St,PS-04,BT-03,Member,Male,1967
518,10/13/2014 12:20,10/13/2014 12:31,SEA00321,690.793,City Hall / 4th Ave & James St,2nd Ave & Blanchard St,CBD-07,BT-05,Short-Term Pass Holder,,
519,10/13/2014 12:20,10/13/2014 12:26,SEA00089,351.563,1st Ave & Marion St,2nd Ave & Spring St,CBD-05,CBD-06,Member,Female,1949
520,10/13/2014 12:21,10/13/2014 12:32,SEA00028,653.071,Burke Museum / E Stevens Way NE & Memorial Way NE,UW Intramural Activities Building,UW-02,UW-07,Member,Female,1991
521,10/13/2014 12:31,10/13/2014 12:57,SEA00140,1593.079,Occidental Park / Occidental Ave S & S Washington St,Occidental Park / Occidental Ave S & S Washington St,PS-04,PS-04,Member,Male,1982
522,10/13/2014 12:32,10/13/2014 12:57,SEA00110,1490.281,Occidental Park / Occidental Ave S & S Washington St,6th Ave & Blanchard St,PS-04,BT-04,Member,Male,1978
523,10/13/2014 12:32,10/13/2014 12:36,SEA00076,213.559,Occidental Park / Occidental Ave S & S Washington St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,PS-04,PS-05,Member,Male,1950
524,10/13/2014 12:32,10/13/2014 12:40,SEA00247,471.424,2nd Ave & Spring St,7th Ave & Union St,CBD-06,CBD-03,Member,Female,1946
525,10/13/2014 12:32,10/13/2014 12:40,SEA00089,488.079,2nd Ave & Spring St,7th Ave & Union St,CBD-06,CBD-03,Member,Female,1949
526,10/13/2014 12:35,10/13/2014 12:47,SEA00058,717.698,2nd Ave & Vine St,2nd Ave & Spring St,BT-03,CBD-06,Member,Male,1953
527,10/13/2014 12:35,10/13/2014 12:46,SEA00063,689.523,2nd Ave & Vine St,2nd Ave & Spring St,BT-03,CBD-06,Member,Male,1950
528,10/13/2014 12:39,10/13/2014 12:45,SEA00415,357.776,6th Ave S & S King St,Occidental Park / Occidental Ave S & S Washington St,ID-04,PS-04,Member,Male,1975
530,10/13/2014 12:43,10/13/2014 12:48,SEA00311,278.849,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,PS-05,PS-05,Short-Term Pass Holder,,
531,10/13/2014 12:46,10/13/2014 12:47,SEA00151,77.656,9th Ave N & Mercer St,9th Ave N & Mercer St,DPD-01,DPD-01,Member,Male,1985
533,10/13/2014 12:48,10/13/2014 12:51,SEA00269,179.939,NE 42nd St & University Way NE,12th Ave & NE Campus Pkwy,UD-02,UD-04,Short-Term Pass Holder,,
534,10/13/2014 12:48,10/13/2014 12:58,SEA00355,590.698,9th Ave N & Mercer St,Dexter Ave & Denny Way,DPD-01,SLU-18,Short-Term Pass Holder,,
535,10/13/2014 12:49,10/13/2014 12:52,SEA00499,193.828,6th Ave & Blanchard St,Westlake Ave & 6th Ave,BT-04,SLU-15,Member,Male,1981
536,10/13/2014 12:53,10/13/2014 12:58,SEA00177,258.419,1st Ave & Marion St,2nd Ave & Spring St,CBD-05,CBD-06,Member,Male,1978
537,10/13/2014 12:54,10/13/2014 12:59,SEA00269,335.591,12th Ave & NE Campus Pkwy,NE 42nd St & University Way NE,UD-04,UD-02,Short-Term Pass Holder,,
538,10/13/2014 12:54,10/13/2014 13:15,SEA00464,1254.226,NE 42nd St & University Way NE,Children's Hospital / Sandpoint Way NE & 40th Ave NE,UD-02,DPD-03,Member,Male,1987
539,10/13/2014 12:57,10/13/2014 13:04,SEA00308,425.148,Occidental Park / Occidental Ave S & S Washington St,1st Ave & Marion St,PS-04,CBD-05,Member,Female,1963
540,10/13/2014 12:58,10/13/2014 13:18,SEA00344,1189.182,2nd Ave & Pine St,2nd Ave & Pine St,CBD-13,CBD-13,Member,Male,1976
541,10/13/2014 12:59,10/13/2014 13:16,SEA00230,1003.336,Frye Art Museum / Terry Ave & Columbia St,Frye Art Museum / Terry Ave & Columbia St,FH-01,FH-01,Short-Term Pass Holder,,
